YYYYMM,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
197602,,1647,71,1576,,78.024,5.337,72.687,186,103.313,1938
197603,,1714,73,1641,,84.91,6.007,78.903,114,-112.903,1721
197604,,1623,69,1554,,85.94,5.64,80.3,-97,-29.3,1508
197605,,1673,72,1601,,81.65,4.664,76.985,-198,-45.985,1434
197606,,1640,70,1570,,75.785,4.755,71.03,-248,-58.03,1335
197607,,1676,72,1604,,73.108,5.997,67.112,-265,-34.112,1372
197608,,1636,70,1566,,76.539,5.578,70.961,-252,-67.961,1317
197609,,1565,67,1498,,74.125,6.54,67.585,-213,-50.585,1302
197610,,1639,70,1569,,85.257,4.87,80.387,-14,-14.387,1621
197611,,1636,70,1566,,80.926,5.163,75.764,234,-0.764,1875
197612,,1753,75,1678,,83.11,4.837,78.273,447,28.727,2232
197701,,1740,75,1665,,86.944,4.785,82.159,647,12.841,2407
197702,,1674,72,1602,,91.751,4.574,87.177,136,-9.177,1816
197703,,1751,75,1676,,100.826,4.289,96.537,-50,-7.537,1715
197704,,1644,71,1573,,84.474,3.188,81.287,-204,-11.287,1439
197705,,1692,73,1619,,85.697,3.158,82.539,-301,-21.539,1379
197706,,1649,71,1578,,76.247,4.6,71.647,-294,-22.647,1333
